"Time","DC Machine1:Armature current","DC Machine1:Field current","DC Machine1:Rotational speed","DC Machine1:Rotor position","DC Machine1:Electrical torque","Vm2:Measured voltage"
0,0,3.5,0,0,0,680
9.9999999999999995e-07,0.67997029563343636,3.5,-0.0012214607554035602,-6.1106875149575157e-10,0.99562983009261297,680
9.0000000000000002e-06,6.1175937617661535,3.5,-0.010847005506892493,-4.9058113064017858e-08,8.9575366405216794,680
7.2999999999999999e-05,49.481667687291988,3.5,-0.078518215336808833,-2.9971338826280711e-06,72.452318444739902,680
0.0002499999999999929,168.14202061583399,3.5,-0.17990149723045404,-2.7717223449383117e-05,246.19783024671801,680
0.00025000000000000001,168.1420206158387,3.5,-0.17990149723045559,-2.7717223449384395e-05,246.19783024672492,680
0.00047507615751026184,316.33811426929475,3.5,-0.12935796490348442,-6.6256647991890124e-05,463.19032608380917,680
0.00056249999999999996,373.08598668827614,3.5,-0.056341274063700458,-7.4590779563348975e-05,546.28200661375706,680
0.00056250000000002121,373.08598668828984,3.5,-0.056341274063679142,-7.4590779563350182e-05,546.28200661377718,680
0.00066911999999998942,441.6771885898728,3.5,0.072620771821352986,-7.4110609740433525e-05,646.71499189808765,680
0.00066912000000001067,441.67718858988638,3.5,0.07262077182138299,-7.4110609740431994e-05,646.71499189810754,-680
0.00074999999999997866,383.66032042193342,3.5,0.17295877909057117,-6.3990511261328523e-05,561.76521546301444,-680
0.00075000000000000002,383.66032042191813,3.5,0.17295877909059398,-6.3990511261324823e-05,561.76521546299205,-680
0.00083087999999999999,326.05404014128658,3.5,0.24537497698234792,-4.6880763085017821e-05,477.41663227283499,-680
0.00083088000000003099,326.05404014126458,3.5,0.24537497698237032,-4.6880763085010218e-05,477.41663227280276,680
0.00093749999999999997,395.04984951599744,3.5,0.34452099962853677,-1.5831210647042511e-05,578.44205412725955,680
0.00093750000000003509,395.04984951602006,3.5,0.34452099962857674,-1.5831210647030395e-05,578.44205412729264,680
0.0012499999999999645,593.36929048991658,3.5,0.88533520881433903,0.00016669617575860543,868.82643207568901,680
0.00125,593.36929048993886,3.5,0.88533520881442151,0.00016669617575863692,868.82643207572164,680
0.001562499999999976,785.86161677545635,3.5,1.7907980621029513,0.00057549861294767875,1150.6786002432241,680
0.0015625000000000242,785.86161677548546,3.5,1.7907980621031183,0.00057549861294776494,1150.6786002432666,680
0.0016691199999999751,850.2034829088949,3.5,2.181215497819708,0.00078688300507537658,1244.8895998378466,680
0.001669120000000025,850.2034829089248,3.5,2.1812154978199003,0.00078688300507548533,1244.8895998378903,-680
0.0017499999999999504,788.9632365216753,3.5,2.4780841515013052,0.00097550443785667385,1155.220070893884,-680
0.00175,788.96323652163778,3.5,2.4780841515014784,0.00097550443785679691,1155.2200708938292,-680
0.00183088,728.13382229626177,3.5,2.7454744439696417,0.0011869697259949148,1066.152092867781,-680
0.0018308800000000638,728.13382229621402,3.5,2.7454744439698411,0.0011869697259950897,1066.1520928677112,680
0.0019374999999999683,792.88152349808581,3.5,3.0992660438687847,0.0014981771622252886,1160.9573265087686,680
0.0019375000000000321,792.88152349812435,3.5,3.0992660438690085,0.0014981771622254861,1160.957326508825,680
0.0022499999999999365,978.75839151577134,3.5,4.3708624020882372,0.0026563517848980913,1433.1229721421498,680
0.0022500000000000003,978.75839151580863,3.5,4.3708624020885321,0.0026563517848983702,1433.1229721422044,680
0.0025624999999999611,1158.8287392179161,3.5,5.9839048014002136,0.0042655516958012268,1696.7865628000184,680
0.0025625000000000391,1158.8287392179602,3.5,5.9839048014006586,0.0042655516958016934,1696.7865628000829,680
0.0026691199999999611,1218.9389183103549,3.5,6.6104364534591369,0.0049366163147637771,1784.801418420865,680
0.0026691200000000391,1218.9389183103988,3.5,6.6104364534596103,0.0049366163147642932,1784.8014184209292,-680
0.0027499999999999218,1154.4911960242341,3.5,7.0846205812145886,0.0054906542179924056,1690.4354215506467,-680
0.0027499999999999998,1154.491196024172,3.5,7.0846205812150309,0.0054906542179929589,1690.4354215505557,-680
0.0028308799999999541,1090.4567353633363,3.5,7.5277778476760027,0.0060818148203020343,1596.6745328805168,-680
0.002830880000000046,1090.4567353632638,3.5,7.5277778476764894,0.0060818148203027273,1596.6745328804107,680
0.002937499999999954,1150.9833840737697,3.5,8.1109097610736107,0.0069151615347131119,1685.2991939261967,680
0.002937500000000046,1150.9833840738218,3.5,8.1109097610741312,0.0069151615347138578,1685.2991939262731,680
0.0032499999999999079,1324.5180024445303,3.5,10.039233892161976,0.0097426883622572704,1939.3930031899008,680
0.0032500000000000003,1324.5180024445808,3.5,10.039233892162594,0.0097426883622581985,1939.3930031899749,680
0.0035624999999999468,1492.2972951848833,3.5,12.286017502461853,0.01322287360018465,2185.0597180403229,680
0.0035625000000000535,1492.2972951849397,3.5,12.286017502462672,0.01322287360018596,2185.0597180404052,680
0.0036691199999999468,1548.2272765338057,3.5,13.123530429935414,0.01457714053213637,2266.9538216285332,680
0.0036691200000000534,1548.2272765338614,3.5,13.12353042993627,0.01457714053213777,2266.9538216286146,-680
0.0037499999999998932,1480.6134141873852,3.5,13.755987121501965,0.015664368325290494,2167.951881820029,-680
0.0037499999999999999,1480.6134141872963,3.5,13.755987121502779,0.015664368325291961,2167.951881819899,-680
0.0038308799999999398,1413.4171892737479,3.5,14.35588888570015,0.016801458412049441,2069.5614573805237,-680
0.0038308800000000603,1413.4171892736481,3.5,14.35588888570102,0.016801458412051173,2069.5614573803778,680
0.0039374999999999393,1469.7827872396208,3.5,15.143317580361369,0.018373733048811333,2152.093401917236,680
