"Time","DC Machine:Armature current","DC Machine:Field current","DC Machine:Rotational speed","DC Machine:Rotor position","DC Machine:Electrical torque","Vm1:Measured voltage"
0,0,0.52000000000000002,0,0,0,680
9.9999999999999995e-07,0.043863145644046926,0.52000000000000002,-0.0021789409750041233,-1.0908969068715499e-09,0.05477428598296924,680
9.0000000000000002e-06,0.39420558056782273,0.52000000000000002,-0.018994877972592087,-8.6515328033158127e-08,0.49226586212780754,680
7.2999999999999999e-05,3.1611680790583541,0.52000000000000002,-0.11446496170849937,-4.7257893987314244e-06,3.9475218172382878,680
0.0002499999999999929,10.489750381782232,0.51999999999999991,-0.027505892859446383,-2.4756235457003045e-05,13.09911951970733,680
0.00025000000000000001,10.489750381782516,0.51999999999999991,-0.027505892859432862,-2.4756235457003241e-05,13.099119519707685,680
0.00047507615751026184,19.150479242006575,0.52000000000000002,0.78708263465610595,4.6458523197221815e-05,23.914240789407394,680
0.00056249999999999996,22.324442542242469,0.52000000000000002,1.3036161850479184,0.0001370437625103146,27.877740692432809,680
0.00056250000000002121,22.324442542243226,0.52000000000000002,1.303616185048057,0.0001370437625103423,27.877740692433754,-680
0.00066911999999998942,16.879971737192964,0.51999999999999991,1.8852604160019344,0.00030904892379813437,21.078935077309712,-680
0.00066912000000001067,16.879971737191898,0.51999999999999991,1.8852604160020277,0.00030904892379817438,21.07893507730838,-680
0.00074999999999997866,12.884560085141539,0.52000000000000002,2.177746713486068,0.00047420687066981665,16.089648120439261,-680
0.00075000000000000002,12.884560085140498,0.52000000000000002,2.1777467134861288,0.00047420687066986316,16.08964812043796,-680
0.00083087999999999999,9.0025457563534843,0.52000000000000002,2.3459020814443186,0.00065805011919776481,11.241966543733193,-680
0.00083088000000003099,9.0025457563520188,0.52000000000000002,2.3459020814443594,0.00065805011919783756,11.241966543731364,-680
0.00093749999999999997,4.0541657109217049,0.51999999999999991,2.3835938616677588,0.00091213692045196825,5.0626563328230336,-680
0.00093750000000003509,4.0541657109201061,0.51999999999999991,2.3835938616677375,0.00091213692045205195,5.062656332821037,680
0.0012499999999999645,16.5265701582864,0.52000000000000002,2.9693048403753903,0.0017089246985107179,20.637623382363181,680
0.00125,16.52657015828774,0.52000000000000002,2.9693048403755418,0.0017089246985108235,20.637623382364854,680
0.001562499999999976,27.637958208241564,0.52000000000000002,4.9917717923855687,0.0029177285700844073,34.513015531731114,680
0.0015625000000000242,27.637958208243177,0.52000000000000002,4.9917717923859817,0.0029177285700846475,34.513015531733132,-680
0.0016691199999999751,21.961047610013193,0.51999999999999991,5.7896223795107948,0.003494576550677469,27.423949755863493,-680
0.001669120000000025,21.961047610010588,0.51999999999999991,5.7896223795111128,0.0034945765506777574,27.423949755860242,-680
0.0017499999999999504,17.793981635035813,0.52000000000000002,6.2397494869528325,0.0039819308057014923,22.220308747633865,-680
0.00175,17.79398163503329,0.52000000000000002,6.2397494869530687,0.003981930805701802,22.220308747630718,-680
0.00183088,13.744316220745446,0.51999999999999991,6.5600889967319862,0.0045008707216386192,17.163272178990386,-680
0.0018308800000000638,13.744316220742302,0.51999999999999991,6.5600889967321887,0.0045008707216390373,17.16327217898646,-680
0.0019374999999999683,8.580737486038915,0.51999999999999991,6.7905465797989404,0.0052146686525930998,10.715231707711974,-680
0.0019375000000000321,8.5807374860358863,0.51999999999999991,6.7905465797990141,0.0052146686525935317,10.715231707708192,680
0.0022499999999999365,20.459367323704285,0.52000000000000002,7.8914680548637062,0.0074710163816044664,25.548720238018042,680
0.0022500000000000003,20.459367323706573,0.52000000000000002,7.8914680548640757,0.0074710163816049694,25.548720238020898,680
0.0025624999999999611,31.028868890078886,0.51999999999999991,10.359908634840568,0.010289500017479586,38.747429381957801,680
0.0025625000000000391,31.02886889008137,0.51999999999999991,10.359908634841343,0.010289500017480394,38.747429381960899,-680
0.0026691199999999611,25.178222155429211,0.52000000000000002,11.295193151213512,0.011446089404623043,31.441409881449871,-680
0.0026691200000000391,25.178222155425004,0.52000000000000002,11.295193151214109,0.011446089404623924,31.441409881444617,-680
0.0027499999999999218,20.882990132304599,0.51999999999999991,11.844816790113224,0.012382785129745862,26.07772098628816,-680
0.0027499999999999998,20.882990132300513,0.51999999999999991,11.84481679011369,0.012382785129746787,26.077720986283058,-680
0.0028308799999999541,16.708218957426453,0.51999999999999991,12.260652784691624,0.013358963252507849,20.864458077560432,-680
0.002830880000000046,16.708218957421771,0.51999999999999991,12.260652784692022,0.013358963252508977,20.864458077554584,-680
0.002937499999999954,11.384285639516122,0.52000000000000002,12.611055199544364,0.014687013209994592,14.216174152008085,-680
0.002937500000000046,11.384285639511617,0.52000000000000002,12.611055199544571,0.01468701320999575,14.216174152002461,680
0.0032499999999999079,22.82160052288129,0.51999999999999991,14.026473355138725,0.018812811397416786,28.498568793344944,680
0.0032500000000000003,22.821600522884477,0.51999999999999991,14.026473355139345,0.018812811397418083,28.498568793348923,680
0.0035624999999999468,32.989966464572866,0.52000000000000002,16.758074983859231,0.023590868746023681,41.196358153677558,680
0.0035625000000000535,32.989966464576135,0.52000000000000002,16.758074983860372,0.023590868746025468,41.196358153681643,-680
0.0036691199999999468,27.011088875365392,0.51999999999999991,17.772250935569236,0.025433883601269004,33.730209838962182,-680
0.0036691200000000534,27.011088875359519,0.51999999999999991,17.772250935570128,0.025433883601270899,33.730209838954849,-680
0.0037499999999998932,22.621387397602906,0.52000000000000002,18.378210428053656,0.026896742078797397,28.2485518184901,-680
0.0037499999999999999,22.621387397597196,0.52000000000000002,18.378210428054363,0.026896742078799357,28.248551818482969,-680
