"Time","DC Machine1:Armature current","DC Machine1:Field current","DC Machine1:Rotational speed","DC Machine1:Electrical torque"
0,0,3.5,0,0
9.9999999999999995e-07,0.45998019565715731,3.5,-0.0012221176090753674,0.67351472114156652
9.0000000000000002e-06,4.1383958117420825,3.5,-0.010900197897384709,6.0595445791678513
7.2999999999999999e-05,33.474433881848569,3.5,-0.082011025544993468,49.014118899391001
0.00039714817324656119,179.56011877048599,3.5,-0.27174824643311707,262.9165004573141
0.00098157232736821717,432.38483646346941,3.5,0.084990434035016771,633.10889317850581
0.0018188351006619219,770.86135230732998,3.5,2.0802255756897052,1128.7148308555741
0.0025934065434066837,1059.138749617367,3.5,5.3739683830770826,1550.8179402803137
0.0035934065434066837,1396.2427433304242,3.5,11.501262496994752,2044.4141960864745
0.0045934065434066838,1694.3780203041931,3.5,19.524873326210354,2480.9514640585835
0.0055934065434066838,1954.4074245685701,3.5,29.214543337117227,2861.6931424074141
0.0065934065434066838,2177.437965634952,3.5,40.345912059108727,3188.2601426622205
0.0075934065434066838,2364.7905283937189,3.5,52.701882669762895,3462.5865381309495
0.0085934065434066838,2517.9704180078079,3.5,66.073812311565547,3686.8764349829985
0.009593406543406683,2638.6389210012348,3.5,80.26252537876104,3863.562331270507
0.010593406543406684,2728.5859922221071,3.5,95.079165151357387,3995.2651244837602
0.011593406543406685,2789.704232283751,3.4999999999999969,110.34588296258339,4084.7560086575245
0.012593406543406686,2823.9642244872857,3.5000000000000022,125.8963764075562,4134.9203620647677
0.013593406543406687,2833.3913635631038,3.5,141.57628554229558,4148.7238192695722
0.014593406543406687,2820.0442295649268,3.5,157.24345456251831,4129.1806056319101
0.015593406543406688,2785.9945090977458,3.5000000000000031,172.76806951811986,4079.3241374580221
0.016593406543406689,2733.308567243389,3.5000000000000009,188.03268056433726,4002.1800391443471
0.01759340654340669,2664.0306365896945,3.5000000000000013,202.93211909147229,3900.7415281257881
0.018593406543406691,2580.1676453801642,3.4999999999999987,217.37331958731272,3777.947199865871
0.019593406543406692,2483.6756510207483,3.4999999999999991,231.27505565598679,3636.6611634517853
0.020593406543406693,2376.4478822321435,3.4999999999999996,244.56759935281792,3479.6555326091102
0.021593406543406694,2260.3043249744437,3.4999999999999996,257.1923148016333,3309.5951771473865
0.022593406543406695,2136.9828211357558,3.4999999999999996,269.10119248890612,3129.0246894332163
0.023593406543406695,2008.1316031838712,3.4999999999999996,280.2563370291,2940.3574534370432
0.024593406543406696,1875.3032591778008,3.4999999999999996,290.62941204782527,2745.866808149296
0.025593406543406697,1739.949975521286,3.4999999999999996,300.20105508524119,2547.6790818988816
0.026593406543406698,1603.4200469855882,3.4999999999999996,308.96026710577036,2347.7684822396377
0.027593406543406699,1466.9555474623276,3.4999999999999996,316.9037832171486,2147.9536854073035
0.0285934065434067,1331.691109425306,3.4999999999999996,324.03543646753081,1949.8960491764212
0.029593406543406701,1198.6536692021079,3.4999999999999996,330.36551271761334,1755.0992398805276
0.030593406543406702,1068.7631884608379,3.4999999999999996,335.91011069946126,1564.9102888314148
0.031593406543406699,942.83413032295732,3.4999999999999996,340.69050688361131,1380.5217536811515
0.0325934065434067,821.577770609558,3.4999999999999996,344.73253168551105,1202.9751026077599
0.033593406543406701,705.60511494671778,3.4999999999999996,348.06596233770364,1033.1649856151951
0.034593406543406702,595.430440133297,3.4999999999999996,350.72393350838507,871.84441989429308
0.035593406543406703,491.47530262596348,3.4999999999999996,352.74237244058315,719.63065914866672
0.036593406543406704,394.07301356093694,3.4999999999999996,354.15945733709378,577.01174603555205
0.037593406543406704,303.47344280327241,3.4999999999999996,355.01510564964968,444.35354637715864
0.038593406543406705,219.84810947800781,3.4999999999999996,355.35049017344119,321.90720284606459
0.039593406543406706,143.29549873048367,3.4999999999999996,355.20758716817681,209.81691990112895
0.040593406543406707,73.84651650026494,3.4999999999999996,354.62875657973046,108.12795080643626
0.041593406543406708,11.470056263222489,3.4999999999999996,353.65635484588989,16.794748596872918
0.042593406543406709,-43.921404963054179,3.4999999999999996,352.33238141322886,-64.310840108180983
0.04359340654340671,-92.466225181676293,3.4999999999999996,350.69815857412874,-135.39140262175104
0.044593406543406711,-134.34806256826727,3.4999999999999996,348.79404436742158,-196.71585592354251
0.045593406543406712,-169.79044215607698,3.4999999999999996,346.65917834337404,-248.61149106186323
0.046593406543406712,-199.05145612457906,3.4999999999999996,344.33125948523747,-291.4562131811698
0.047593406543406713,-222.41863292567837,3.4999999999999996,341.84635512684002,-325.67102876594419
0.048593406543406714,-240.20400035758388,3.4999999999999996,339.23874008545516,-351.71281686768316
0.049593406543406715,-252.73937025296803,3.4999999999999996,336.54076445168204,-370.06742482517183
0.050593406543406716,-260.37186384448222,3.4999999999999996,333.78274904464223,-381.24311639067344
0.051593406543406717,-263.45969238829275,3.4999999999999996,330.99290664701323,-385.76439361141621
0.052593406543406718,-262.36821108972015,3.4999999999999996,328.19728774036651,-384.16621888698245
0.053593406543406719,-257.4662495974186,3.4999999999999996,325.41974891889066,-376.98864198540002
0.054593406543406719,-249.12273189469704,3.4999999999999996,322.68194238365976,-364.77185080190162
0.05559340654340672,-237.70358613724088,3.4999999999999996,320.00332478076803,-348.05164666459052
0.056593406543406721,-223.568944791978,3.4999999999999996,317.40118355106489,-327.35534470643756
0.057593406543406722,-207.07063339968417,3.4999999999999996,314.89067920544875,-303.19809684751095
0.058593406543406723,-188.54994640279492,3.4999999999999996,312.48490171602691,-276.079635105394
0.059593406543406724,-168.33570183319466,3.4999999999999996,310.19493931796057,-246.48142321948649
